书名	作者	评分	性别	年龄
红楼梦	[清] 曹雪芹 著	9.6	23	
活着	余华	9.4	34	
1984	[英] 乔治·奥威尔	9.3	56	
百年孤独	[哥伦比亚] 加西亚·马尔克斯	9.3	23	
飘	[美国] 玛格丽特·米切尔	9.3	37	
三体全集:地球往事三部曲	刘慈欣	9.4	41	
三国演义（全二册）	[明] 罗贯中	9.3	44	
房思琪的初恋乐园	林奕含	9.2	23	
动物农场	[英] 乔治·奥威尔	9.2	42	
福尔摩斯探案全集（上中下）	[英] 阿·柯南道尔	9.3	38	
白夜行	[日] 东野圭吾	9.1	44	
小王子	[法] 圣埃克苏佩里	9	43	
天龙八部	金庸	9.1	24	
安徒生童话故事集	（丹麦）安徒生	9.2	44	
撒哈拉的故事	三毛	9.2	44	
冰与火之歌（卷一）:权力的游戏	[美] 乔治·R. R. 马丁	9.3	39	
哈利·波特	J.K.罗琳 (J.K.Rowling)	9.7	44	
杀死一只知更鸟	[美] 哈珀·李	9.2	44	
沉默的大多数:王小波杂文随笔全编	王小波	9.1	45	
局外人	[法] 阿尔贝·加缪	9	44	
人类简史:从动物到上帝	[以色列] 尤瓦尔·赫拉利	9.1	40	
围城	钱锺书	8.9	44	
明朝那些事儿（1-9）:限量版	当年明月	9.1	25	
平凡的世界（全三部）	路遥	9	46	
霍乱时期的爱情	[哥伦比亚] 加西亚·马尔克斯	9	41	
笑傲江湖（全四册）	金庸	9	23	
呐喊	鲁迅	9	47	
中国历代政治得失	钱穆	9.2	44	
肖申克的救赎	[美] 斯蒂芬·金	9.1	42	
月亮和六便士	[英] 毛姆	9	44	
基督山伯爵	大仲马	9	48	
东方快车谋杀案	[英] 阿加莎·克里斯蒂	9	26	
新名字的故事:那不勒斯四部曲2	[意] 埃莱娜·费兰特	9.1	44	
失踪的孩子:那不勒斯四部曲4	[意] 埃莱娜·费兰特	9.1	49	
追风筝的人	[美] 卡勒德·胡赛尼	8.9	43	
万历十五年	[美] 黄仁宇	8.9	44	
乡土中国	费孝通	9.2	34	
江城	[美] 彼得·海斯勒	9.1	44	
白鹿原:20周年精装典藏版	陈忠实	9.2	50	
刀锋	[英]毛姆	9	44	
